Job Title;Company Name;Job City;Job Rating;Job Post Date
Data Scientist, Recommendation and Ranking (SF);Etsy;San Francisco;4.4;30+
Lead Data Scientist;Innoplexus;San Francisco;None;4
Data Scientist, Growth Data Science;Square;San Francisco;3.7;30+
Data Scientist;Perfect World Entertainment;Redwood City;3.4;30+
Senior Data Scientist - Analytics;Microsoft;San Francisco;4.2;4
Data Scientist - Digital Sales Planning;Sony Interactive Entertainment PlayStation;San Mateo;3.8;15
Data scientist - Global Sales;PayPal;San Francisco;3.9;30+
Clinical Data Scientist;Gilead Sciences;Foster City;3.6;3
Data Scientist;Flow Labs;Oakland;4.0;30+
Data Scientist;Esurance;San Francisco;3.4;30+
Data Scientist - Marketplace;thredUP Inc;Oakland;2.7;30+
Data Scientist, PhD University Graduate, 2020 Start;Google;Mountain View;4.3;30+
Sr. Data Scientist - Scaled Enforcement Heuristics;Twitter;San Francisco;4.1;30+
Senior Data Analyst / Senior Data Scientist;Khan Academy;Mountain View;4.1;12
Staff Data Scientist;Proofpoint;Sunnyvale;3.9;12
Senior Data Scientist;Williams-Sonoma, Inc.;San Francisco;3.6;30+
Data Scientist, Supply Chain Advanced Analytics;Gap Inc.;San Francisco;3.8;30+
Data Scientist, Simulation & Policy;Lacuna Technologies;Palo Alto;None;15
Data Scientist;Sensor Tower;San Francisco;None;30+
Data Scientist - Product Operations;Apple;Santa Clara Valley;4.2;4
Data Scientist Engineer;FT Optimize;Half Moon Bay;None;30+
Data Science - Product;Bolt;San Francisco;4.1;30+
Flood Data Scientist: Hydrodyanamics;One Concern;Menlo Park;None;22
Data Scientist - Market Analysis and Strategy;GENENTECH;South San Francisco;4.1;1
Senior Data Scientist, Home & Explore;Twitter;San Francisco;4.1;30+
Data Scientist (Computer Vision);AI Factory;San Francisco;None;30+
Senior Data Scientist;Under Armour, Inc.;San Francisco;3.8;30+
Data Scientist;SLEEP NUMBER;San Jose;3.4;30+
Paid Summer Intern - Undergraduate, Data Science;Levi Strauss & Co.;San Francisco;3.9;30+
Intern - ML / Data Science;Juniper Networks;Sunnyvale;4.1;8
Sr. Data Scientist;Woodruff Sawyer;San Francisco;3.3;30+
Data Scientist, Google Customer Solutions;Google;Redwood City;4.3;30+
Data Scientist - Insights & Modeling;Sony Interactive Entertainment PlayStation;San Mateo;3.8;30+
Data Scientist - Early Career;Lawrence Livermore National Laboratory;Livermore;4.2;30+
Data Scientist;Gayathri's Sandbox;Menlo Park;None;30+
Data Science Analyst;Yelp;San Francisco;3.5;30+
Senior Business Data Analyst - Anomaly Detection;Intuit;Mountain View;4.2;1
Staff/Lead Data Scientist;Sonder;San Francisco;3.3;4
IT Sr. Data Scientist;Workforce Logiq;Santa Clara;2.6;8
Data Scientist - Fraud Engineering, Algorithms, and Risk;Apple;Santa Clara Valley;4.2;30+
Senior Finance Data Analyst;Intuit;Mountain View;4.2;1
Siri - Data Scientist, Data Organization;Apple;Santa Clara Valley;4.2;30+
Data Scientist and Visualization Specialist;Apple;Santa Clara Valley;4.2;30+
Chief Data Scientist;AI Factory;San Francisco;None;30+
Microbiome Data Scientist;Siolta Therapeutics;San Francisco;None;30+
Data Scientist;MachineZone;Palo Alto;2.6;30+
Senior Data Scientist, Talent Acquisition;Atlassian;San Francisco;4.5;30+
Data Science Analyst;Yelp;San Francisco;3.5;30+
Principal Applied Scientist;Amazon.com Services LLC;San Francisco;3.6;1
